EXEMPLAR - COD.;titulo;autor;volume;EDIÇÃO;ANO;editora;COLEÇÃO;SÉRIE;ISBN;Nº EXEMPLAR;ASSUNTO;CLASSIFICAÇÃO;IDIOMA;OBSERVAÇÃO DO EXEMPLAR;;;;;;;;;;;;;;;;;;
E-100029;Homens de verdade: o chamado de Deus para a masculinidade;Richard D. Phillips;;;2019;Fiel;;;9,78858E+12;1;"homem; masculinidade; vida cristã";"VCF-P558
";;;;;;;;;;;;;;;;;;;;
E-100030;Redenção nos campos do Senhor: as boas novas em Rute;Emílio Garofalo Neto;;;2018;Monergismo;;;9,78857E+12;1;"estudo bíblico; vida cristã; evangelho;";EB-G237;;;;;;;;;;;;;;;;;;;;
E-100031;Polêmicas na igreja: doutrinas, práticas e movimentos que enfraquecem o cristianismo;Augustus Nicodemus;;;2015;Mundo cristão;;;9,78854E+11;1;"igreja; evangelicalismo; apologética; vida cristã";I:A-N633;;;;;;;;;;;;;;;;;;;;
E-100032;Polêmicas na igreja: doutrinas, práticas e movimentos que enfraquecem o cristianismo;Augustus Nicodemus;;1.ed. 2015;2016 (reimpr.);Mundo cristão;;;9,78854E+11;2;"igreja; evangelicalismo; apologética; vida cristã";I:A-N633;;;;;;;;;;;;;;;;;;;;
E-100033;O que estão fazendo com a igreja: ascensão e queda do movimento evangélico brasileiro;Augustus Nicodemus;;;2008;Mundo cristão;;;9,78857E+12;1;"igreja; evangelicalismo; controvérsias teológicas; apologética";I:A-N633;;;;;;;;;;;;;;;;;;;;
E-100034;O ateísmo cristão e outras ameaças à Igreja;Augustus Nicodemus;;;2011;Mundo cristão;;;9,78857E+12;1;"igreja; evangelicalismo; controvérsias teológicas; seitas cristãs; apologética";I:A-N633;;;;;;;;;;;;;;;;;;;;
E-100035;Igreja emergente: o movimento e suas implicações;D. A. Carson;;;2010;Vida Nova;;;9,78853E+12;1;"igrejas não institucionais; ";I-C321;;;;;;;;;;;;;;;;;;;;
E-100036;Mulher nota 10: os passos de uma mulher bem sucedida;Hernandes Dias Lopes;;1.ed 2013;2015 (reimpr);Hagnos;;;9,78856E+12;1;"Vida cristã; mulher";VCF-L864;;;;;;;;;;;;;;;;;;;;
E-100037;O senhorio de Cristo: servindo o nosso Senhor o tempo todo, em toda a vida e de todo o nosso coração;Vern S. Poythress;;;2019;Monergismo;;;9,78857E+12;1;;VCE-P892;;;;;;;;;;;;;;;;;;;;
E-100038;"O evangelho segundo Jesus: O que significa quando Jesus diz ""segue-me";John F. MacArthur Jr.;;;;;;;;;;VCE-M116;;;;;;;;;;;;;;;;;;;;
E-100039;Pecados intocáveis;Jerry Bridges;;;2012;Vida nova;;;9,78853E+12;1;;VCE-B852;;;;;;;;;;;;;;;;;;;;
E-100040;O namoro e o noivado que Deus sempre quis;Alexandre Mendes e David Merkh;;;2013;Hagnos;;;9,78856E+12;1;"casais; namoro; relacionamento; família; noivado; casamento; vida cristã";VCF-M538;;;;;;;;;;;;;;;;;;;;
E-100041;O fruto de suas mãos: o respeito e a mulher cristã;Nacy Wilson;;;2014;;;Best Seller sobre a Família;9,78856E+12;1;"mulher; vida cristã";VCF-W746;;;;;;;;;;;;;;;;;;;;
E-100042;O fruto de suas mãos: o respeito e a mulher cristã;Nacy Wilson;;;2014;;;Best Seller sobre a Família;9,78856E+12;2;"mulher; vida cristã";VCF-W746;;;;;;;;;;;;;;;;;;;;
E-100043;Ídolos do coração: aprendendo a desear somente a Deus;Elyse Fitzpatrick;;;2017;Vida Nova;;;9,78853E+12;1;"idolatria; vida cristã; ";VCE-F559;;;;;;;;;;;;;;;;;;;;
